date,sample,GAN_ours_default_9seed,GAN_ours_tf_faithful,GAN_authors_checkpoints_ported,LS,Ridge
1977-09-30,train,0.012937,0.012490,0.014317,0.684187,0.683262
1977-10-31,train,0.012569,0.014246,0.018163,0.443092,0.461078
1977-11-30,train,0.025381,0.023371,0.020882,0.897504,1.285264
1977-12-30,train,0.015814,0.013433,0.015080,1.038735,0.980203
1978-01-31,train,0.015494,0.013367,0.018574,0.669702,0.634350
1978-02-28,train,0.015780,0.014110,0.017526,1.162626,0.958404
1978-03-31,train,0.018644,0.019644,0.023027,0.880241,0.509705
1978-04-28,train,0.020797,0.019150,0.021393,0.228930,0.273202
1978-05-31,train,0.022221,0.018295,0.021835,1.180717,1.135401
1978-06-30,train,0.009788,0.012038,0.015437,-0.100849,0.072867
1978-07-31,train,0.019565,0.020637,0.022136,0.797196,0.756105
1978-08-31,train,0.013635,0.020085,0.024367,0.369818,0.350316
1978-09-29,train,0.002803,0.006686,0.012936,0.692070,0.623305
1978-10-31,train,0.010527,0.008701,0.017834,0.546782,0.202450
1978-11-30,train,0.026467,0.025745,0.025656,1.654782,1.700985
1978-12-29,train,0.018008,0.012889,0.015915,1.114819,1.020875
1979-01-31,train,0.021075,0.020916,0.022289,1.440895,1.452110
1979-02-28,train,0.002648,0.007643,0.010353,0.611140,0.510932
1979-03-30,train,0.023444,0.021129,0.021846,1.002518,0.864634
1979-04-30,train,0.015966,0.017219,0.019762,0.968132,0.892301
1979-05-31,train,0.009093,0.011481,0.013368,0.492587,0.354704
1979-06-29,train,0.015300,0.019460,0.020330,0.761263,0.573094
1979-07-31,train,0.012518,0.014008,0.018028,0.947172,0.848349
1979-08-31,train,0.018984,0.023180,0.021607,0.821583,0.741814
1979-09-28,train,0.015525,0.012401,0.017979,0.244684,0.116043
1979-10-31,train,0.011738,0.012221,0.020167,0.033698,-0.126000
1979-11-30,train,0.021630,0.023168,0.021940,1.125057,0.923370
1979-12-31,train,0.015739,0.018453,0.022146,0.815961,0.395158
1980-01-31,train,0.020362,0.023776,0.028221,0.604891,0.505619
1980-02-29,train,0.009438,0.011686,0.017940,-0.205360,-0.072577
1980-03-31,train,0.016525,0.014947,0.020268,1.317624,1.037607
1980-04-30,train,0.027329,0.028472,0.026476,1.002795,1.123830
1980-05-30,train,0.025561,0.020933,0.021189,0.264795,0.386508
1980-06-30,train,0.023664,0.020432,0.021704,1.088005,0.958230
1980-07-31,train,0.024230,0.029264,0.029277,1.210850,1.277424
1980-08-29,train,0.021806,0.021762,0.025790,0.848502,0.867966
1980-09-30,train,0.019003,0.020990,0.020642,0.831996,0.682936
1980-10-31,train,0.018593,0.018317,0.021558,0.999408,0.782473
1980-11-28,train,0.026624,0.025936,0.023565,0.132184,-0.040075
1980-12-31,train,0.017033,0.017627,0.017990,0.556022,0.747080
1981-01-30,train,0.013345,0.019501,0.020486,0.080642,0.202083
1981-02-27,train,0.012150,0.010321,0.011905,0.625616,0.276012
1981-03-31,train,0.020452,0.020744,0.024160,0.678166,0.690980
1981-04-30,train,0.016936,0.017285,0.021055,0.602291,0.661748
1981-05-29,train,0.006073,0.009723,0.012758,0.282866,0.040107
1981-06-30,train,0.014482,0.012321,0.019559,1.661435,1.236729
1981-07-31,train,0.008511,0.015108,0.014683,0.506259,0.246628
1981-08-31,train,0.017425,0.012767,0.017761,0.670713,0.512175
1981-09-30,train,0.026686,0.018321,0.018831,0.704943,0.698911
1981-10-30,train,0.022279,0.023857,0.023349,1.446350,1.213964
1981-11-30,train,0.013088,0.015127,0.016264,0.595254,0.680187
1981-12-31,train,0.014506,0.012434,0.015034,1.239426,0.985243
1982-01-29,train,0.015069,0.014907,0.017374,0.849951,0.892026
1982-02-26,train,0.011336,0.014123,0.016459,1.089728,0.771017
1982-03-31,train,0.013344,0.016650,0.019145,0.375939,0.293782
1982-04-30,train,0.014484,0.016769,0.018890,0.651316,0.445180
1982-05-28,train,0.013033,0.011612,0.016054,1.018226,0.937649
1982-06-30,train,0.021207,0.017853,0.021316,1.090014,0.986199
1982-07-30,train,0.009036,0.015501,0.016305,0.317516,0.336302
1982-08-31,train,0.019092,0.022550,0.023274,0.076255,-0.104026
1982-09-30,train,0.030666,0.025480,0.031582,1.835649,1.937661
1982-10-29,train,0.025837,0.026812,0.026828,1.022639,0.538674
1982-11-30,train,0.021428,0.022157,0.022866,0.219260,0.371223
1982-12-31,train,0.011810,0.014651,0.019222,0.408883,0.205507
